FT,ToD,DoW,DIR,MOVE
1225,4,0,dn,mv
1230,4,0,dn,mv
1235,4,0,dn,nm
1240,4,0,up,nm
1245,4,0,dn,mv
1250,4,0,up,mv
1255,4,0,up,nm
1260,4,0,up,nm
1265,4,0,up,nm
1270,4,0,up,mv
1275,4,0,up,mv
1280,4,0,dn,mv
1285,4,0,up,nm
1290,4,0,up,nm
1295,4,0,dn,nm
1300,4,0,dn,nm
1305,4,0,dn,mv
1310,4,0,up,mv
1315,4,0,up,mv
1320,4,0,up,nm
1325,4,0,dn,nm
1330,4,0,up,nm
1335,4,0,dn,nm
1340,4,0,up,mv
1345,4,0,dn,mv
1350,4,0,dn,nm
1355,4,0,dn,nm
1360,4,0,dn,nm
1365,4,0,up,nm
1370,4,0,dn,nm
1375,4,0,up,nm
1380,4,0,dn,nm
1385,4,0,up,nm
1390,4,0,dn,nm
1395,4,0,up,nm
1400,4,0,up,nm
1405,4,0,up,nm
1410,4,0,dn,mv
1415,4,0,dn,mv
1420,4,0,dn,mv
1425,4,0,dn,mv
1430,4,0,dn,mv
1435,4,0,dn,nm
0,4,0,up,nm
5,4,0,dn,mv
10,4,0,dn,mv
15,4,0,up,mv
20,4,0,up,nm
25,4,0,up,nm
30,4,0,dn,mv
35,4,0,up,mv
40,4,0,dn,mv
45,4,0,up,mv
50,4,0,up,nm
55,4,0,up,nm
60,4,0,dn,nm
65,4,0,dn,mv
70,4,0,dn,mv
75,4,0,up,mv
80,4,0,up,mv
85,4,0,dn,mv
90,4,0,up,mv
95,4,0,up,mv
100,4,0,up,nm
105,4,0,up,mv
110,4,0,up,nm
115,4,0,dn,mv
120,4,0,up,nm
125,4,0,dn,mv
130,4,0,up,mv
135,4,0,dn,nm
140,4,0,up,mv
145,4,0,up,mv
150,4,0,dn,mv
155,4,0,dn,nm
160,4,0,up,mv
165,4,0,dn,nm
170,4,0,up,mv
175,4,0,dn,mv
180,4,0,up,mv
185,4,0,up,mv
190,4,0,up,mv
195,4,0,up,mv
200,4,0,dn,nm
205,4,0,up,mv
210,4,0,dn,mv
215,4,0,up,mv
220,4,0,dn,mv
225,4,0,up,nm
230,4,0,dn,nm
235,4,0,dn,nm
240,4,0,up,mv
245,4,0,dn,mv
250,4,0,up,mv
255,4,0,dn,mv
260,4,0,dn,mv
265,4,0,dn,mv
270,4,0,up,mv
275,4,0,up,nm
280,4,0,up,nm
285,4,0,up,nm
290,4,0,dn,nm
295,4,0,up,mv
300,4,0,dn,mv
305,4,0,dn,mv
310,4,0,up,nm
315,4,0,up,mv
320,4,0,dn,nm
325,4,0,up,nm
330,4,0,dn,mv
335,4,0,up,nm
340,4,0,dn,nm
345,4,0,up,mv
350,4,0,dn,mv
355,4,0,up,nm
360,4,0,up,nm
365,4,0,dn,nm
370,4,0,dn,mv
375,4,0,up,mv
380,4,0,up,mv
385,4,0,up,mv
390,4,0,up,nm
395,4,0,up,nm
400,4,0,up,mv
405,4,0,dn,mv
410,4,0,dn,mv
415,4,0,up,mv
420,4,0,dn,mv
425,4,0,dn,mv
430,4,0,dn,mv
435,4,0,dn,mv
440,4,0,dn,mv
445,4,0,up,nm
450,4,0,up,nm
455,4,0,dn,mv
460,4,0,up,nm
465,4,0,up,mv
470,4,0,dn,nm
475,4,0,dn,nm
480,4,0,dn,mv
485,4,0,up,nm
490,4,0,up,mv
495,4,0,up,mv
500,4,0,dn,mv
505,4,0,up,mv
510,4,0,up,mv
515,4,0,up,nm
520,4,0,dn,mv
525,4,1,dn,mv
530,4,1,up,nm
535,4,1,up,mv
540,4,1,up,mv
545,4,1,dn,mv
550,4,1,dn,mv
555,4,1,up,mv
560,4,1,dn,mv
565,4,1,dn,mv
570,4,1,up,mv
575,4,1,up,mv
580,4,1,dn,mv
585,4,1,dn,nm
590,4,1,dn,mv
595,4,1,up,mv
600,4,1,dn,nm
605,4,1,up,mv
610,4,1,up,mv
615,4,1,dn,mv
620,4,1,up,mv
625,4,1,up,nm
630,4,1,up,mv
635,4,1,up,mv
640,4,1,dn,mv
645,4,1,dn,mv
650,4,1,dn,mv
655,4,1,up,mv
660,4,1,dn,nm
665,4,1,dn,nm
670,4,1,dn,mv
675,4,1,up,mv
680,4,1,dn,mv
685,4,1,dn,mv
690,4,1,dn,mv
695,4,1,up,nm
700,4,1,dn,mv
705,4,1,up,nm
710,4,1,dn,mv
715,4,1,up,mv
720,4,1,up,nm
725,4,1,up,mv
730,4,1,up,nm
735,4,1,dn,nm
740,4,1,up,nm
745,4,1,dn,nm
750,4,1,up,nm
755,4,1,dn,nm
760,4,1,up,mv
765,4,1,dn,nm
770,4,1,up,nm
775,4,1,dn,mv
780,4,1,up,mv
785,4,1,dn,nm
790,4,1,dn,mv
795,4,1,dn,mv
800,4,1,up,nm
805,4,1,up,nm
810,4,1,dn,nm
815,4,1,up,nm
820,4,1,dn,mv
825,4,1,up,mv
830,4,1,dn,mv
835,4,1,dn,mv
840,4,1,dn,mv
845,4,1,up,mv
850,4,1,dn,mv
855,4,1,dn,nm
860,4,1,dn,mv
865,4,1,dn,nm
870,4,1,up,nm
875,4,1,dn,mv
880,4,1,dn,mv
885,4,1,up,mv
890,4,1,up,nm
895,4,1,up,mv
900,4,1,up,nm
905,4,1,dn,nm
910,4,1,up,nm
915,4,1,dn,mv
920,4,1,up,mv
925,4,1,up,nm
930,4,1,dn,nm
935,4,1,up,mv
940,4,1,dn,mv
945,4,0,dn,mv
950,4,0,dn,mv
955,4,0,up,nm
960,4,0,up,nm
965,4,0,up,nm
970,4,0,dn,nm
975,4,0,dn,nm
980,4,0,up,nm
985,4,0,dn,nm
990,4,0,up,nm
995,4,0,dn,nm
1000,4,0,dn,nm
1005,4,0,up,nm
1010,4,0,dn,nm
1015,4,0,up,nm
1080,5,0,dn,nm
1085,5,0,up,nm
1090,5,0,dn,nm
1095,5,0,dn,mv
1100,5,0,up,nm
1105,5,0,up,nm
1110,5,0,up,nm
1115,5,0,dn,nm
1120,5,0,up,nm
1125,5,0,up,nm
1130,5,0,dn,nm
1135,5,0,dn,nm
1140,5,0,up,nm
1145,5,0,up,nm
1150,5,0,dn,nm
1155,5,0,dn,nm
1160,5,0,up,nm
1165,5,0,up,nm
1170,5,0,up,nm
1175,5,0,up,nm
1180,5,0,dn,nm
1185,5,0,up,nm
1190,5,0,up,nm
1195,5,0,up,nm
1200,5,0,dn,nm
1205,5,0,up,nm
1210,5,0,dn,nm
1215,5,0,dn,nm
1220,5,0,up,nm
1225,5,0,up,nm
1230,5,0,dn,nm
1235,5,0,dn,mv
1240,5,0,dn,mv
1245,5,0,dn,nm
1250,5,0,dn,nm
1255,5,0,dn,nm
1260,5,0,up,nm
1265,5,0,dn,mv
1270,5,0,dn,mv
1275,5,0,up,mv
1280,5,0,up,mv
1285,5,0,up,mv
1290,5,0,up,mv
1295,5,0,up,mv
1300,5,0,dn,mv
1305,5,0,up,mv
1310,5,0,up,mv
1315,5,0,dn,mv
1320,5,0,up,mv
1325,5,0,up,nm
1330,5,0,dn,nm
1335,5,0,up,mv
1340,5,0,up,mv
1345,5,0,dn,mv
1350,5,0,dn,nm
1355,5,0,dn,nm
1360,5,0,dn,nm
1365,5,0,up,nm
1370,5,0,dn,nm
1375,5,0,dn,nm
1380,5,0,up,mv
1385,5,0,dn,nm
1390,5,0,dn,nm
1395,5,0,dn,nm
1400,5,0,up,nm
1405,5,0,dn,nm
1410,5,0,dn,nm
1415,5,0,up,nm
1420,5,0,dn,nm
1425,5,0,up,nm
1430,5,0,dn,mv
1435,5,0,up,mv
0,5,0,dn,mv
5,5,0,dn,nm
10,5,0,dn,nm
15,5,0,dn,nm
20,5,0,dn,nm
25,5,0,up,nm
30,5,0,dn,nm
35,5,0,up,mv
40,5,0,dn,nm
45,5,0,dn,mv
50,5,0,dn,nm
55,5,0,up,nm
60,5,0,dn,nm
65,5,0,up,nm
70,5,0,dn,nm
75,5,0,up,mv
80,5,0,dn,nm
85,5,0,dn,nm
90,5,0,dn,nm
95,5,0,up,nm
100,5,0,up,nm
105,5,0,dn,mv
110,5,0,up,mv
115,5,0,up,mv
120,5,0,up,mv
125,5,0,up,mv
130,5,0,up,nm
135,5,0,up,nm
140,5,0,dn,nm
145,5,0,up,mv
150,5,0,up,mv
155,5,0,dn,mv
160,5,0,dn,nm
165,5,0,up,mv
170,5,0,dn,mv
175,5,0,dn,nm
180,5,0,dn,mv
185,5,0,up,mv
190,5,0,dn,nm
195,5,0,dn,nm
200,5,0,up,mv
205,5,0,up,nm
210,5,0,dn,mv
215,5,0,dn,nm
220,5,0,up,mv
225,5,0,dn,nm
230,5,0,up,mv
235,5,0,dn,mv
240,5,0,dn,nm
245,5,0,dn,mv
250,5,0,up,mv
255,5,0,up,mv
260,5,0,up,mv
265,5,0,up,mv
270,5,0,dn,mv
275,5,0,up,nm
280,5,0,dn,nm
285,5,0,dn,mv
290,5,0,up,mv
295,5,0,dn,mv
300,5,0,up,nm
305,5,0,dn,mv
310,5,0,dn,mv
315,5,0,up,nm
320,5,0,up,mv
325,5,0,up,mv
330,5,0,dn,mv
335,5,0,up,nm
340,5,0,up,mv
345,5,0,dn,mv
350,5,0,dn,nm
355,5,0,dn,nm
360,5,0,dn,mv
365,5,0,dn,nm
370,5,0,dn,nm
375,5,0,dn,mv
380,5,0,up,nm
385,5,0,dn,mv
390,5,0,dn,mv
395,5,0,up,mv
400,5,0,up,nm
405,5,0,dn,nm
410,5,0,up,mv
415,5,0,dn,mv
420,5,0,dn,nm
425,5,0,dn,mv
430,5,0,up,mv
435,5,0,up,mv
440,5,0,dn,mv
445,5,0,dn,nm
450,5,0,up,nm
455,5,0,up,mv
460,5,0,dn,nm
465,5,0,dn,nm
470,5,0,dn,nm
475,5,0,up,mv
480,5,0,dn,mv
485,5,0,up,mv
490,5,0,up,mv
495,5,0,up,mv
500,5,0,dn,mv
505,5,0,up,mv
510,5,0,dn,mv
515,5,0,dn,mv
520,5,0,dn,mv
525,5,1,dn,mv
530,5,1,dn,nm
535,5,1,dn,nm
540,5,1,dn,mv
545,5,1,up,mv
550,5,1,up,mv
555,5,1,dn,mv
560,5,1,dn,mv
565,5,1,up,mv
570,5,1,up,mv
575,5,1,up,mv
580,5,1,dn,mv
585,5,1,up,mv
590,5,1,up,mv
595,5,1,dn,mv
600,5,1,up,nm
605,5,1,up,nm
610,5,1,up,mv
615,5,1,dn,mv
620,5,1,up,mv
625,5,1,dn,nm
630,5,1,up,nm
635,5,1,dn,mv
640,5,1,dn,mv
645,5,1,up,mv
650,5,1,dn,mv
655,5,1,dn,mv
660,5,1,dn,nm
665,5,1,dn,mv
670,5,1,up,nm
675,5,1,up,nm
680,5,1,up,nm
685,5,1,dn,nm
690,5,1,up,mv
695,5,1,up,mv
700,5,1,dn,nm
705,5,1,dn,nm
710,5,1,up,mv
715,5,1,up,mv
720,5,1,dn,mv
725,5,1,dn,nm
730,5,1,dn,nm
735,5,1,dn,nm
740,5,1,up,mv
745,5,1,up,mv
750,5,1,dn,mv
755,5,1,dn,nm
760,5,1,up,nm
765,5,1,dn,nm
770,5,1,up,mv
775,5,1,up,mv
780,5,1,dn,mv
785,5,1,up,nm
790,5,1,dn,mv
795,5,1,dn,mv
800,5,1,up,mv
805,5,1,dn,nm
810,5,1,dn,nm
815,5,1,up,nm
820,5,1,dn,nm
825,5,1,up,nm
830,5,1,dn,nm
835,5,1,up,nm
840,5,1,up,nm
845,5,1,dn,mv
850,5,1,up,mv
855,5,1,dn,mv
860,5,1,dn,nm
865,5,1,dn,nm
870,5,1,dn,mv
875,5,1,dn,nm
880,5,1,dn,nm
885,5,1,dn,nm
890,5,1,up,nm
895,5,1,dn,mv
900,5,1,dn,nm
905,5,1,up,nm
910,5,1,dn,nm
915,5,1,up,mv
920,5,1,dn,mv
925,5,1,dn,nm
930,5,1,dn,mv
935,5,1,up,nm
940,5,1,up,mv
945,5,0,up,mv
950,5,0,dn,mv
955,5,0,dn,mv
960,5,0,up,mv
965,5,0,up,nm
970,5,0,dn,nm
975,5,0,up,nm
980,5,0,dn,nm
985,5,0,dn,nm
990,5,0,dn,nm
995,5,0,dn,nm
1000,5,0,up,nm
1005,5,0,dn,nm
1010,5,0,dn,nm
1015,5,0,dn,nm
1080,1,0,dn,nm
1085,1,0,dn,nm
1090,1,0,up,mv
1095,1,0,up,mv
1100,1,0,up,nm
1105,1,0,up,nm
1110,1,0,up,nm
1115,1,0,dn,nm
1120,1,0,up,nm
1125,1,0,dn,mv
1130,1,0,up,nm
1135,1,0,dn,mv
1140,1,0,dn,mv
1145,1,0,up,nm
1150,1,0,dn,nm
1155,1,0,dn,mv
1160,1,0,up,nm
1165,1,0,up,nm
1170,1,0,dn,nm
1175,1,0,up,mv
1180,1,0,dn,mv
1185,1,0,dn,mv
1190,1,0,dn,nm
1195,1,0,dn,nm
1200,1,0,dn,mv
1205,1,0,up,mv
1210,1,0,up,mv
1215,1,0,up,mv
1220,1,0,up,nm
1225,1,0,up,nm
1230,1,0,up,nm
1235,1,0,up,nm
1240,1,0,up,nm
1245,1,0,dn,nm
1250,1,0,dn,mv
1255,1,0,up,nm
1260,1,0,dn,nm
1265,1,0,up,nm
1270,1,0,dn,nm
1275,1,0,dn,nm
1280,1,0,up,nm
1285,1,0,dn,nm
1290,1,0,up,nm
1295,1,0,dn,nm
1300,1,0,up,nm
1305,1,0,dn,mv
1310,1,0,dn,mv
1315,1,0,up,nm
1320,1,0,up,nm
1325,1,0,up,nm
1330,1,0,dn,nm
1335,1,0,dn,mv
1340,1,0,dn,mv
1345,1,0,dn,nm
1350,1,0,up,nm
1355,1,0,up,nm
1360,1,0,dn,nm
1365,1,0,dn,nm
1370,1,0,dn,nm
1375,1,0,dn,nm
1380,1,0,up,nm
1385,1,0,dn,nm
1390,1,0,up,nm
1395,1,0,dn,mv
1400,1,0,dn,nm
1405,1,0,up,nm
1410,1,0,dn,mv
1415,1,0,up,nm
1420,1,0,dn,nm
1425,1,0,dn,mv
1430,1,0,dn,mv
1435,1,0,dn,nm
0,1,0,dn,nm
5,1,0,dn,nm
10,1,0,up,mv
15,1,0,dn,mv
20,1,0,dn,mv
25,1,0,dn,mv
30,1,0,dn,mv
35,1,0,dn,mv
40,1,0,dn,nm
45,1,0,dn,nm
50,1,0,dn,mv
55,1,0,up,mv
60,1,0,dn,mv
65,1,0,up,mv
70,1,0,up,mv
75,1,0,up,mv
80,1,0,up,mv
85,1,0,up,mv
90,1,0,up,nm
95,1,0,up,nm
100,1,0,dn,nm
105,1,0,dn,mv
110,1,0,up,nm
115,1,0,up,nm
120,1,0,up,nm
125,1,0,dn,mv
130,1,0,dn,mv
135,1,0,up,nm
140,1,0,dn,mv
145,1,0,dn,mv
150,1,0,up,mv
155,1,0,dn,nm
160,1,0,dn,nm
165,1,0,up,mv
170,1,0,up,nm
175,1,0,dn,mv
180,1,0,up,mv
185,1,0,dn,mv
190,1,0,up,mv
195,1,0,dn,mv
200,1,0,dn,mv
205,1,0,dn,mv
210,1,0,dn,mv
215,1,0,dn,mv
220,1,0,dn,mv
225,1,0,up,mv
230,1,0,dn,mv
235,1,0,dn,mv
240,1,0,up,mv
245,1,0,up,nm
250,1,0,dn,mv
255,1,0,up,nm
260,1,0,dn,mv
265,1,0,up,mv
270,1,0,dn,mv
275,1,0,dn,nm
280,1,0,dn,nm
285,1,0,up,mv
290,1,0,up,mv
295,1,0,dn,mv
300,1,0,dn,nm
305,1,0,dn,nm
310,1,0,dn,nm
315,1,0,up,mv
320,1,0,dn,mv
325,1,0,dn,mv
330,1,0,up,nm
335,1,0,up,nm
340,1,0,dn,nm
345,1,0,dn,mv
350,1,0,up,mv
355,1,0,up,nm
360,1,0,up,nm
365,1,0,up,nm
370,1,0,dn,nm
375,1,0,dn,nm
380,1,0,up,mv
385,1,0,dn,nm
390,1,0,dn,mv
395,1,0,dn,mv
400,1,0,up,mv
405,1,0,up,nm
410,1,0,up,nm
415,1,0,dn,mv
420,1,0,dn,mv
425,1,0,up,mv
430,1,0,up,nm
435,1,0,up,nm
440,1,0,dn,nm
445,1,0,dn,nm
450,1,0,up,nm
455,1,0,up,nm
460,1,0,dn,nm
465,1,0,dn,mv
470,1,0,up,nm
475,1,0,up,nm
480,1,0,up,nm
485,1,0,dn,mv
490,1,0,dn,nm
495,1,0,up,nm
500,1,0,up,mv
505,1,0,dn,mv
510,1,0,dn,mv
515,1,0,dn,mv
520,1,0,dn,mv
525,1,1,up,mv
530,1,1,up,mv
535,1,1,dn,mv
540,1,1,up,mv
545,1,1,dn,nm
550,1,1,dn,mv
555,1,1,up,mv
560,1,1,up,mv
565,1,1,up,mv
570,1,1,dn,mv
575,1,1,dn,mv
580,1,1,dn,mv
585,1,1,dn,mv
590,1,1,dn,mv
595,1,1,up,mv
600,1,1,up,mv
605,1,1,dn,mv
610,1,1,dn,mv
615,1,1,up,mv
620,1,1,dn,mv
625,1,1,up,mv
630,1,1,dn,mv
635,1,1,dn,mv
640,1,1,up,nm
645,1,1,dn,mv
650,1,1,dn,mv
655,1,1,up,mv
660,1,1,dn,mv
665,1,1,up,nm
670,1,1,up,mv
675,1,1,dn,mv
680,1,1,dn,nm
685,1,1,up,mv
690,1,1,dn,nm
695,1,1,dn,mv
700,1,1,dn,mv
705,1,1,up,nm
710,1,1,up,mv
715,1,1,up,mv
720,1,1,dn,mv
725,1,1,up,nm
730,1,1,up,nm
735,1,1,up,nm
740,1,1,dn,nm
745,1,1,up,nm
750,1,1,dn,nm
755,1,1,up,nm
760,1,1,up,nm
765,1,1,dn,nm
770,1,1,dn,nm
775,1,1,up,nm
780,1,1,dn,nm
785,1,1,up,nm
790,1,1,up,nm
795,1,1,up,nm
800,1,1,dn,nm
805,1,1,up,nm
810,1,1,dn,nm
815,1,1,up,nm
820,1,1,up,nm
825,1,1,dn,nm
830,1,1,up,nm
835,1,1,dn,mv
840,1,1,dn,mv
845,1,1,up,nm
850,1,1,up,mv
855,1,1,up,mv
860,1,1,dn,mv
865,1,1,dn,nm
870,1,1,up,nm
875,1,1,dn,nm
880,1,1,up,nm
885,1,1,dn,nm
890,1,1,up,nm
895,1,1,dn,mv
900,1,1,dn,nm
905,1,1,up,mv
910,1,1,dn,mv
915,1,1,dn,nm
920,1,1,dn,nm
925,1,1,dn,mv
930,1,1,up,nm
935,1,1,dn,mv
940,1,1,dn,mv
945,1,0,up,mv
950,1,0,up,nm
955,1,0,dn,nm
960,1,0,dn,nm
965,1,0,dn,nm
970,1,0,dn,nm
975,1,0,up,nm
980,1,0,dn,nm
985,1,0,up,nm
990,1,0,dn,nm
995,1,0,dn,nm
1000,1,0,dn,nm
1005,1,0,up,mv
1010,1,0,dn,mv
1015,1,0,dn,nm
1080,2,0,up,nm
1085,2,0,dn,nm
1090,2,0,dn,nm
1095,2,0,dn,nm
1100,2,0,dn,nm
1105,2,0,dn,nm
1110,2,0,dn,nm
1115,2,0,dn,nm
1120,2,0,up,mv
1125,2,0,dn,mv
1130,2,0,dn,nm
1135,2,0,dn,mv
1140,2,0,dn,nm
1145,2,0,dn,nm
1150,2,0,dn,nm
1155,2,0,up,nm
1160,2,0,dn,mv
1165,2,0,dn,nm
1170,2,0,dn,mv
1175,2,0,dn,mv
1180,2,0,up,nm
1185,2,0,dn,mv
1190,2,0,up,nm
1195,2,0,dn,nm
1200,2,0,up,mv
1205,2,0,dn,mv
1210,2,0,dn,mv
1215,2,0,dn,mv
1220,2,0,dn,mv
1225,2,0,dn,nm
1230,2,0,dn,mv
1235,2,0,dn,nm
1240,2,0,dn,mv
1245,2,0,up,nm
1250,2,0,dn,nm
1255,2,0,up,nm
1260,2,0,dn,mv
1265,2,0,dn,nm
1270,2,0,dn,nm
1275,2,0,up,nm
1280,2,0,dn,mv
1285,2,0,up,mv
1290,2,0,up,mv
1295,2,0,dn,nm
1300,2,0,up,mv
1305,2,0,up,nm
1310,2,0,dn,nm
1315,2,0,dn,mv
1320,2,0,up,nm
1325,2,0,dn,nm
1330,2,0,up,mv
1335,2,0,dn,mv
1340,2,0,dn,mv
1345,2,0,dn,mv
1350,2,0,dn,mv
1355,2,0,dn,nm
1360,2,0,dn,nm
1365,2,0,dn,mv
1370,2,0,up,mv
1375,2,0,up,mv
1380,2,0,dn,mv
1385,2,0,dn,nm
1390,2,0,up,nm
1395,2,0,dn,mv
1400,2,0,up,mv
1405,2,0,dn,nm
1410,2,0,up,nm
1415,2,0,up,nm
1420,2,0,dn,nm
1425,2,0,dn,mv
1430,2,0,up,nm
1435,2,0,dn,nm
0,2,0,up,nm
5,2,0,dn,nm
10,2,0,up,nm
15,2,0,up,mv
20,2,0,dn,mv
25,2,0,up,nm
30,2,0,up,nm
35,2,0,dn,nm
40,2,0,dn,nm
45,2,0,dn,nm
50,2,0,up,mv
55,2,0,up,nm
60,2,0,dn,nm
65,2,0,dn,nm
70,2,0,up,mv
75,2,0,dn,mv
80,2,0,dn,mv
85,2,0,up,mv
90,2,0,up,mv
95,2,0,dn,mv
100,2,0,up,nm
105,2,0,dn,nm
110,2,0,up,mv
115,2,0,dn,mv
120,2,0,dn,mv
125,2,0,dn,mv
130,2,0,dn,nm
135,2,0,dn,mv
140,2,0,up,mv
145,2,0,up,mv
150,2,0,dn,nm
155,2,0,up,nm
160,2,0,up,mv
165,2,0,dn,mv
170,2,0,dn,mv
175,2,0,dn,mv
180,2,0,dn,mv
185,2,0,dn,mv
190,2,0,dn,mv
195,2,0,dn,mv
200,2,0,dn,mv
205,2,0,dn,mv
210,2,0,dn,mv
215,2,0,dn,nm
220,2,0,dn,mv
225,2,0,up,nm
230,2,0,up,mv
235,2,0,up,nm
240,2,0,dn,mv
245,2,0,up,mv
250,2,0,up,mv
255,2,0,up,mv
260,2,0,dn,mv
265,2,0,dn,nm
270,2,0,up,nm
275,2,0,dn,mv
280,2,0,dn,mv
285,2,0,up,mv
290,2,0,up,mv
295,2,0,up,nm
300,2,0,up,nm
305,2,0,up,mv
310,2,0,dn,mv
315,2,0,dn,mv
320,2,0,dn,nm
325,2,0,up,mv
330,2,0,dn,mv
335,2,0,dn,mv
340,2,0,dn,mv
345,2,0,up,nm
350,2,0,up,mv
355,2,0,dn,nm
360,2,0,dn,nm
365,2,0,dn,nm
370,2,0,up,nm
375,2,0,dn,nm
380,2,0,up,nm
385,2,0,up,mv
390,2,0,dn,mv
395,2,0,up,nm
400,2,0,up,nm
405,2,0,dn,mv
410,2,0,dn,mv
415,2,0,up,mv
420,2,0,dn,mv
425,2,0,dn,nm
430,2,0,dn,nm
435,2,0,dn,nm
440,2,0,up,nm
445,2,0,dn,mv
450,2,0,dn,nm
455,2,0,up,mv
460,2,0,dn,mv
465,2,0,up,mv
470,2,0,dn,mv
475,2,0,up,mv
480,2,0,up,mv
485,2,0,up,mv
490,2,0,up,nm
495,2,0,up,nm
500,2,0,dn,nm
505,2,0,dn,mv
510,2,0,up,mv
515,2,0,dn,nm
520,2,0,dn,mv
525,2,1,up,mv
530,2,1,up,mv
535,2,1,up,mv
540,2,1,up,nm
545,2,1,up,mv
550,2,1,dn,mv
555,2,1,dn,mv
560,2,1,up,mv
565,2,1,dn,mv
570,2,1,up,mv
575,2,1,up,nm
580,2,1,up,nm
585,2,1,dn,mv
590,2,1,up,nm
595,2,1,dn,nm
600,2,1,up,mv
605,2,1,dn,mv
610,2,1,dn,mv
615,2,1,up,mv
620,2,1,dn,mv
625,2,1,up,nm
630,2,1,up,nm
635,2,1,up,nm
640,2,1,dn,mv
645,2,1,up,mv
650,2,1,up,nm
655,2,1,dn,nm
660,2,1,up,nm
665,2,1,up,nm
670,2,1,dn,mv
675,2,1,dn,mv
680,2,1,up,mv
685,2,1,dn,nm
690,2,1,dn,nm
695,2,1,up,nm
700,2,1,dn,mv
705,2,1,dn,mv
710,2,1,dn,mv
715,2,1,dn,mv
720,2,1,dn,nm
725,2,1,dn,nm
730,2,1,dn,mv
735,2,1,up,nm
740,2,1,dn,nm
745,2,1,up,nm
750,2,1,dn,nm
755,2,1,dn,mv
760,2,1,up,nm
765,2,1,up,nm
770,2,1,up,mv
775,2,1,up,mv
780,2,1,up,mv
785,2,1,up,nm
790,2,1,up,nm
795,2,1,up,nm
800,2,1,dn,nm
805,2,1,dn,nm
810,2,1,up,nm
815,2,1,up,mv
820,2,1,up,mv
825,2,1,up,mv
830,2,1,up,mv
835,2,1,up,mv
840,2,1,up,nm
845,2,1,dn,mv
850,2,1,up,nm
855,2,1,dn,nm
860,2,1,up,nm
865,2,1,dn,nm
870,2,1,dn,mv
875,2,1,up,nm
880,2,1,up,nm
885,2,1,up,mv
890,2,1,dn,nm
895,2,1,dn,nm
900,2,1,dn,nm
905,2,1,up,nm
910,2,1,up,nm
915,2,1,dn,mv
920,2,1,up,nm
925,2,1,up,nm
930,2,1,up,nm
935,2,1,dn,mv
940,2,1,up,mv
945,2,0,dn,mv
950,2,0,up,nm
955,2,0,up,mv
960,2,0,dn,nm
965,2,0,dn,mv
970,2,0,up,nm
975,2,0,dn,nm
980,2,0,dn,nm
985,2,0,dn,mv
990,2,0,up,mv
995,2,0,dn,nm
1000,2,0,dn,nm
1005,2,0,dn,nm
1010,2,0,up,nm
1015,2,0,up,nm
1080,3,0,dn,nm
1085,3,0,up,mv
1090,3,0,dn,mv
1095,3,0,dn,mv
1100,3,0,up,mv
1105,3,0,up,nm
1110,3,0,up,nm
1115,3,0,up,nm
1120,3,0,dn,nm
1125,3,0,dn,nm
1130,3,0,dn,nm
1135,3,0,dn,nm
1140,3,0,dn,mv
1145,3,0,dn,mv
1150,3,0,dn,mv
1155,3,0,dn,nm
1160,3,0,dn,nm
1165,3,0,dn,nm
1170,3,0,dn,nm
1175,3,0,dn,nm
1180,3,0,dn,nm
1185,3,0,dn,mv
1190,3,0,up,mv
1195,3,0,dn,mv
1200,3,0,up,mv
1205,3,0,up,mv
1210,3,0,up,nm
1215,3,0,up,nm
1220,3,0,up,nm
1225,3,0,dn,nm
1230,3,0,up,nm
1235,3,0,up,nm
1240,3,0,dn,nm
1245,3,0,up,mv
1250,3,0,dn,nm
1255,3,0,dn,mv
1260,3,0,dn,nm
1265,3,0,up,mv
1270,3,0,dn,nm
1275,3,0,dn,nm
1280,3,0,up,nm
1285,3,0,up,mv
1290,3,0,dn,mv
1295,3,0,dn,nm
1300,3,0,dn,nm
1305,3,0,dn,mv
1310,3,0,up,mv
1315,3,0,up,nm
1320,3,0,up,nm
1325,3,0,up,nm
1330,3,0,dn,mv
1335,3,0,up,nm
1340,3,0,up,mv
1345,3,0,up,mv
1350,3,0,dn,mv
1355,3,0,dn,nm
1360,3,0,dn,mv
1365,3,0,up,mv
1370,3,0,dn,mv
1375,3,0,up,mv
1380,3,0,up,mv
1385,3,0,up,mv
1390,3,0,dn,mv
1395,3,0,dn,nm
1400,3,0,dn,nm
1405,3,0,dn,mv
1410,3,0,up,nm
1415,3,0,dn,nm
1420,3,0,up,nm
1425,3,0,dn,nm
1430,3,0,dn,mv
1435,3,0,dn,mv
0,3,0,up,nm
5,3,0,up,nm
10,3,0,up,nm
15,3,0,dn,mv
20,3,0,dn,mv
25,3,0,up,nm
30,3,0,up,nm
35,3,0,up,nm
40,3,0,dn,nm
45,3,0,dn,nm
50,3,0,dn,mv
55,3,0,up,mv
60,3,0,dn,nm
65,3,0,dn,mv
70,3,0,up,nm
75,3,0,dn,nm
80,3,0,up,nm
85,3,0,dn,nm
90,3,0,dn,nm
95,3,0,dn,nm
100,3,0,up,nm
105,3,0,dn,mv
110,3,0,dn,mv
115,3,0,up,mv
120,3,0,up,mv
125,3,0,up,nm
130,3,0,up,nm
135,3,0,dn,nm
140,3,0,dn,nm
145,3,0,up,nm
150,3,0,up,nm
155,3,0,dn,mv
160,3,0,up,nm
165,3,0,up,nm
